,Country Name,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016
73,Nepal,121,4.514,107,4.793,21.41,21.13,28656.28,28982.77,0.74713117,0.729053848,766419173550.00,771403391983.94,26745243.05,26615930.50,103.6933333,112.8083333
74,Ethiopia,122,4.512,115,4.508,64.46,72.37,99873.03,102403.2,0.645419489,0.706716196,776376110248.88,832797317299.68,7773631.28,8132532.16,142.7956695,153.1679636
75,Sierra Leone,123,4.507,111,4.635,4.25,3.74,7237.02,7396.19,0.587258291,0.505665755,7964970857006.63,8736929149517.97,1100587100.35,1181274297.92,154.48,171.2925
76,Mauritania,124,4.436,130,4.201,4.84,4.74,4182.34,4301.02,1.1572469,1.102064162,903542984127.09,,216037668.90,,100.9583119,102.4441259
77,Kenya,125,4.419,122,4.356,63.77,70.53,47236.26,48461.57,1.350022208,1.455380005,4021094084415.28,4245806958347.84,85127274.78,87611832.60,159.5989072,169.6497132
78,Georgia,130,4.297,126,4.252,13.99,14.38,3717.1,3719.3,3.763686745,3.866318931,11103475447.49,11494603162.01,2987133.91,3090528.64,114.664725,117.1127333
79,Malawi,131,4.292,132,4.156,6.37,5.43,17573.61,18091.58,0.362475325,0.300139623,1214932001982.42,1211430004641.17,69133888.94,66960984.32,192.0223173,233.7125
80,Sri Lanka,132,4.271,117,4.415,80.61,81.32,20966,21203,3.844796337,3.835306325,8904714503735.69,9445918215856.84,424721668.59,445499137.66,109.4583333,113.7916667
81,Bulgaria,134,4.218,129,4.217,50.2,53.24,7177.99,7127.82,6.993601273,7.469324422,82539685029.86,87814262826.64,11498996.94,12319932.72,6550.406614,6498.085301
82,Senegal,142,3.904,128,4.219,13.64,14.68,14976.99,15411.61,0.910730394,0.952528646,5753278986709.23,6190459285944.43,384141205.06,401675054.45,103.5091667,104.3758333
83,Gabon,143,3.896,134,4.121,14.26,14.21,1930.18,1979.79,7.387912008,7.17752893,7267993667296.21,7051050925839.55,3765448645.88,3561514567.63,127.3769768,130.0604367
84,Tanzania,146,3.781,149,3.666,45.63,47.34,53879.96,55572.2,0.846882589,0.851864781,44288288873893.60,48707078388640.00,821980730.38,876464822.13,152.719116,102.9475481
85,Rwanda,154,3.465,152,3.515,8.26,8.38,11629.55,11917.51,0.71025964,0.703167021,5996454763044.52,6419345487693.71,515622252.20,538648214.91,103.127253,109.029704
86,Benin,155,3.34,153,3.484,8.29,8.58,10575.95,10872.3,0.783853933,0.789161447,4085520691775.56,4291360121158.52,386302950.73,394705823.16,112.67,111.7141667
