,Country Name,Happiness Rank 2015,Happiness Rank 2016,Happiness Score 2015,Happiness Score 2016,GDP 2015,GDP 2016,Population 2015,Population 2016,GDI 2015,GDI 2016,GDP Per capita 2015,GDP per capita 2016,CPI 2015,CPI 2016
35,Moldova,52,55,5.888999999999999,5.897,6512899540.0,6749515655.0,3554108.0,3551954.0,1832.4990518014647,1900.2260882319986,1832.4990518014647,1900.2260882319986,101.0682583,100.1982458
36,Paraguay,53,70,5.877999999999999,5.537999999999999,27282581336.0,27424071383.0,6639119.0,6725308.0,4109.367724241725,4077.7420726307255,4109.367724241725,4077.7420726307255,140.9,146.6583333
37,Kazakhstan,54,54,5.855,5.919,184000000000.0,137000000000.0,17544126.0,17794397.0,10487.840773601376,7699.052684954708,10487.840773601376,7699.052684954708,101.075,100.66666670000001
38,Slovenia,55,63,5.848,5.768,43072415017.0,44708598649.0,2063531.0,2065042.0,20873.161109283068,21650.212755479064,20873.161109283068,21650.212755479064,100.0008333,99.94583333
39,Lithuania,56,60,5.832999999999999,5.813,41508609233.0,42773029835.0,2904910.0,2868231.0,14289.120569311957,14912.686542680836,14289.120569311957,14912.686542680836,107.6249,108.59946670000001
40,Nicaragua,57,48,5.827999999999999,5.992000000000001,12747741540.0,13230844687.0,6082035.0,6149928.0,2095.966488190219,2151.3820465865615,2095.966488190219,2151.3820465865615,190.3386048,197.04456340000002
41,Belarus,59,61,5.813,5.8020000000000005,56454734397.0,47407217531.0,9489616.0,9501534.0,5949.1063070412965,4989.427763032791,5949.1063070412965,4989.427763032791,107.35833329999998,107.22083329999998
42,Poland,60,57,5.791,5.835,477000000000.0,471000000000.0,37986412.0,37970087.0,12557.121741321607,12404.501469801742,12557.121741321607,12404.501469801742,122.85,122.03333329999998
43,Malaysia,61,47,5.77,6.005,296000000000.0,297000000000.0,30723155.0,31187265.0,9634.427193431144,9523.117849545319,9634.427193431144,9523.117849545319,112.80833329999999,115.16666670000001
44,Croatia,62,74,5.7589999999999995,5.4879999999999995,48921877448.0,50714957391.0,4203604.0,4174349.0,11638.079478466572,12149.189584052507,11638.079478466572,12149.189584052507,100.0,98.875
45,Cyprus,67,69,5.689,5.546,19676167240.0,20047013274.0,1160985.0,1170125.0,16947.822099338064,17132.368998183956,16947.822099338064,17132.368998183956,123.4108333,98.57083333
46,Algeria,68,38,5.605,6.355,166000000000.0,159000000000.0,39871528.0,40606052.0,4163.371917925995,3915.672471679837,4163.371917925995,3915.672471679837,172.6533333,183.69916669999998
47,Mauritius,71,66,5.477,5.648,11692287066.0,12168437744.0,1262605.0,1263473.0,9260.44730220457,9630.94402808766,9260.44730220457,9630.94402808766,108.25,109.30833329999999
48,Estonia,73,72,5.428999999999999,5.517,22566956982.0,23337907619.0,1315407.0,1315790.0,17155.87417582543,17736.80269571892,17155.87417582543,17736.80269571892,195.0433333,195.35
49,Indonesia,74,79,5.399,5.314,861000000000.0,932000000000.0,258162113.0,261115456.0,3335.1137004367483,3569.3023089372386,3335.1137004367483,3569.3023089372386,120.42166670000002,124.6675
50,Turkey,76,78,5.332000000000001,5.388999999999999,860000000000.0,864000000000.0,78271472.0,79512426.0,10987.400364720366,10866.226116657539,10987.400364720366,10866.226116657539,260.585,280.84583330000004
51,Nigeria,78,103,5.268,4.875,481000000000.0,405000000000.0,181181744.0,185989640.0,2654.7928581590427,2177.540641511,2654.7928581590427,2177.540641511,173.125,200.3011024
52,Bhutan,79,84,5.252999999999999,5.196000000000001,2059258653.0,2212638830.0,787386.0,797765.0,2615.3102201461543,2773.5471348078695,2615.3102201461543,2773.5471348078695,121.1019009,126.32159720000001
53,Jordan,82,80,5.192,5.303,37517410282.0,38654727746.0,9159302.0,9455802.0,4096.099275032093,4087.9375166696595,4096.099275032093,4087.9375166696595,116.40106670000002,115.49479170000001
54,Montenegro,82,88,5.192,5.1610000000000005,4052913386.0,4374127212.0,622159.0,622303.0,6514.2726955649605,7028.934798643105,6514.2726955649605,7028.934798643105,100.1184311,100.0746506
