,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
10,Israel,11,7.278,11,7.267,299.0,318.0,8380.1,8546.0,35.67976515793367,37.21039082611748,113,1071553389313.74,1128490547898.01,127868806.97291678,132048975.88322139,105.520675,104.6494417,105.520675,104.6494417,105.520675,104.6494417,105.520675,104.6494417,105.520675,104.6494417
11,Costa Rica,12,7.226,14,7.087000000000001,54.84,57.44,4807.85,4857.27,11.406345871855402,11.825572801182556,46,26630769928379.8,28146836988608.0,5539018465.297337,5794785340.038334,106.59898319999999,105.7329811,106.59898319999999,105.7329811,106.59898319999999,105.7329811,106.59898319999999,105.7329811,106.59898319999999,105.7329811
12,Austria,13,7.2,12,7.119,382.0,391.0,8633.17,8731.47,44.24794137031936,44.78054668916002,12,312226020660.319,317699484984.51,36165860.35724062,36385566.80427351,119.5175,124.83416670000001,119.5175,124.83416670000001,119.5175,124.83416670000001,119.5175,124.83416670000001,119.5175,124.83416670000001
13,Mexico,14,7.187,21,6.778,1150.0,1050.0,125890.95,127540.42,9.134890156917555,8.232684195331958,152,13789232825562.2,14138158358722.8,109533154.09536746,110852374.16281678,123.4108333,98.57083333,123.4108333,98.57083333,123.4108333,98.57083333,123.4108333,98.57083333,123.4108333,98.57083333
14,United States,15,7.119,13,7.104,18100.0,18600.0,320896.62,323127.51,56.40445823330891,57.562415530636805,249,16751041592703.2,17027627212182.5,52200741.761328615,52696309.30582945,100.0,100.25,100.0,100.25,100.0,100.25,100.0,100.25,100.0,100.25
15,Brazil,16,6.983,17,6.952000000000001,1800.0,1800.0,205962.11,207652.86,8.73947154648979,8.6683130682621,27,1856833043317.75,1789139424339.53,9015410.860365288,8616011.473858487,110.66666670000001,111.70833329999999,110.66666670000001,111.70833329999999,110.66666670000001,111.70833329999999,110.66666670000001,111.70833329999999,110.66666670000001,111.70833329999999
16,Luxembourg,17,6.946000000000001,20,6.871,57.78,58.63,569.6,582.01,101.43960674157303,100.73710073710073,142,46365819137.3523,47286734191.1938,81400665.62035166,81247288.17579389,108.935,113.06,108.935,113.06,108.935,113.06,108.935,113.06,108.935,113.06
17,Ireland,18,6.94,19,6.907,291.0,305.0,4646.55,4749.78,62.62711043677567,64.21350041475606,109,246424001291.768,258277811035.01105,53033756.50574469,54376794.5115376,100.9025,102.8941667,100.9025,102.8941667,100.9025,102.8941667,100.9025,102.8941667,100.9025,102.8941667
18,Belgium,19,6.937,18,6.928999999999999,455.0,468.0,11274.2,11338.48,40.35763069663479,41.275373771440265,15,383809450775.834,391940851664.458,34043164.9940425,34567318.693904124,123.55833329999999,124.375,123.55833329999999,124.375,123.55833329999999,124.375,123.55833329999999,124.375,123.55833329999999,124.375
19,United Arab Emirates,20,6.901,28,6.5729999999999995,358.0,349.0,9154.3,9269.61,39.10730476388146,37.64991191646682,6,1198851856078.97,1259462734346.14,130960516.48722132,135870088.8544545,195.0433333,195.35,195.0433333,195.35,195.0433333,195.35,195.0433333,195.35,195.0433333,195.35
20,United Kingdom,21,6.867000000000001,23,6.725,2890.0,2650.0,65128.86,65595.56,44.37356956654853,40.399075791105375,79,1772900357271.75,1815163515267.94,27221424.6844141,27672048.462852363,112.67,111.7141667,112.67,111.7141667,112.67,111.7141667,112.67,111.7141667,112.67,111.7141667
21,Singapore,24,6.797999999999999,22,6.739,297.0,297.0,5535.0,5607.28,53.65853658536585,52.966857371131816,206,400518392608.80896,402433395289.60297,72361046.54179023,71769805.55449398,100.575,103.0,100.575,103.0,100.575,103.0,100.575,103.0,100.575,103.0
22,Panama,25,6.7860000000000005,25,6.7010000000000005,52.13,55.19,3969.25,4034.12,13.133463500661335,13.680802752520997,183,36180201170.7264,37658175457.8353,9115122.799200455,9334917.022258956,107.675,109.05,107.675,109.05,107.675,109.05,107.675,109.05,107.675,109.05
